trade_id,asset_class,overall_status,data_quality_status,reporting_scope_status,regulatory_conclusion,finding_type,rule_id,rule_name,regime,severity,field,status,message
T006,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T007,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped payer swaption to the Rates.Option.Swaption template.
T007,Rates,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T008,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T008,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T009,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T009,Rates,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,ACTION_TYPE_ENUM,Action type enumeration,GLOBAL,NONCOMPLIANT,action_type,,action_type AMND is not in the supported lifecycle-event set.
T010,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped floor to the Rates.Option.CapFloor template.
T010,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T010,Rates,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,REFERENCE_RATE_ALIAS,Rates reference-rate codeset validation,GLOBAL,WARNING,reference_rate,,"SGD-SORA-OIS-COMPOUND is not exact, but normalized alias SGD-SORA-OIS Compound exists in the codeset."
T011,Credit,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,Mapped single-name CDS to the closest corporate credit-swap template.
T011,Credit,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T012,Credit,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped index CDS to the Credit.Swap.Index template.
T012,Credit,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T012,Credit,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T013,Credit,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,Mapped single-name CDS to the closest corporate credit-swap template.
T013,Credit,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T013,Credit,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,TIMESTAMP_PARTIAL,Timestamp UTC format,GLOBAL,WARNING,timestamp,,timestamp is date-only; expected ISO 8601 UTC with T and Z
T014,Credit,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,Mapped credit TRS to the Credit.Swap.Total_Return_Swap template.
T014,Credit,COMPLIANT,PASS,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T015,FX,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,"Mapped teaching-data FX cross-currency swap to Foreign_Exchange.Swap.FX_Swap.; Matched DSB template, but some mapped required attributes are absent from the teaching-data record; treated as an attribute-coverage gap."
T015,FX,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T016,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,"Mapped VanillaOption to the ANNA-DSB Vanilla_Option label.; Matched DSB template, but some mapped required attributes are absent from the teaching-data record; treated as an attribute-coverage gap."
T016,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T016,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,"Mapped FX forward to Foreign_Exchange.Forward.Forward.; Matched DSB template, but some mapped required attributes are absent from the teaching-data record; treated as an attribute-coverage gap."
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,EMIR_REQUIRED_FIELD,EMIR required field,EMIR,NONCOMPLIANT,collateral_portfolio_code,,collateral_portfolio_code is required under EMIR reporting checks.
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,EMIR_NULL_MARGIN,EMIR margin value,EMIR,NONCOMPLIANT,initial_margin_posted,,"initial_margin_posted is null. Under EMIR, zero must be reported as 0; null is a compliance failure."
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,EMIR_NULL_MARGIN,EMIR margin value,EMIR,NONCOMPLIANT,variation_margin_posted,,"variation_margin_posted is null. Under EMIR, zero must be reported as 0; null is a compliance failure."
T017,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,EMIR_NULL_MARGIN,EMIR margin value,EMIR,NONCOMPLIANT,collateral_margin_posted,,"collateral_margin_posted is null. Under EMIR, zero must be reported as 0; null is a compliance failure."
T018,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T018,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,INVALID_CURRENCY,ISO 4217 currency validation,GLOBAL,NONCOMPLIANT,notional_currency,,INVALID_CCY is not an ISO 4217 currency code in the DSB codeset
T019,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T019,FX,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,INVALID_CURRENCY,ISO 4217 currency validation,GLOBAL,NONCOMPLIANT,notional_currency,,CNH is not an ISO 4217 currency code in the DSB codeset
T020,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,Mapped generic equity swap to a representative single-name total-return-swap template; the source data does not specify the return subtype.
T020,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T020,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,"Mapped European equity option to Equity.Option.Single_Name; exercise style is an attribute, not the template path."
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_MISSING,LEI presence,GLOBAL,NONCOMPLIANT,reporting_counterparty_lei,,reporting counterparty lei is missing or uses a placeholder.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UTI_NAMESPACE,UTI namespace,GLOBAL,NONCOMPLIANT,uti,,First 20 characters of UTI do not equal reporting_counterparty_lei.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UTI_NAMESPACE_FORMAT,UTI namespace format,GLOBAL,NONCOMPLIANT,uti,,UTI namespace is not a 20-character uppercase alphanumeric LEI namespace.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,CFTC_REQUIRED_FIELD,CFTC required field,CFTC,NONCOMPLIANT,reporting_counterparty_lei,,reporting_counterparty_lei is required under CFTC reporting checks.
T021,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,EMIR_REQUIRED_FIELD,EMIR required field,EMIR,NONCOMPLIANT,reporting_counterparty_lei,,reporting_counterparty_lei is required under EMIR reporting checks.
T022,Equity,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,Mapped generic equity swap to a representative single-name total-return-swap template; the source data does not specify the return subtype.
T022,Equity,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T022,Equity,WARNING,WARNING,IN_SCOPE,CONVENTIONAL,COMPLIANCE,DATE_INVALID,Calendar date validity,GLOBAL,WARNING,maturity_date,,maturity_date is missing or not a real YYYY-MM-DD calendar date.
T023,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,INFO,use_case,,"Mapped American equity option to Equity.Option.Single_Name; exercise style is an attribute, not the template path."
T023,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T023,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UTI_NAMESPACE,UTI namespace,GLOBAL,NONCOMPLIANT,uti,,First 20 characters of UTI do not equal reporting_counterparty_lei.
T023,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UTI_NAMESPACE_FORMAT,UTI namespace format,GLOBAL,NONCOMPLIANT,uti,,UTI namespace is not a 20-character uppercase alphanumeric LEI namespace.
T023,Equity,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UTI_SUFFIX,UTI suffix character set,GLOBAL,NONCOMPLIANT,uti,,"UTI suffix must contain only uppercase letters, digits, and hyphens."
T024,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,"Mapped teaching-data commodity swap to Commodities.Swap.Swap.; Matched DSB template, but some mapped required attributes are absent from the teaching-data record; treated as an attribute-coverage gap."
T024,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T024,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,LEI_CHECK_DIGIT,LEI ISO 7064 check digit,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei fails ISO 7064 MOD 97-10 check-digit validation.
T025,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_TEMPLATE_MAPPING,ANNA-DSB UPI template lookup,GLOBAL,WARNING,use_case,,"Mapped teaching-data commodity option to Commodities.Option.Option.; Matched DSB template, but some mapped required attributes are absent from the teaching-data record; treated as an attribute-coverage gap."
T025,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,UPI_PLACEHOLDER,UPI placeholder,GLOBAL,INFO,upi,,UPI field is populated but still uses a teaching-data placeholder; production reporting would need the issued UPI.
T025,Commodities,NONCOMPLIANT,NONCOMPLIANT,IN_SCOPE,CONVENTIONAL,COMPLIANCE,TIMESTAMP_INVALID,Timestamp UTC format,GLOBAL,NONCOMPLIANT,timestamp,,timestamp is not parseable as ISO 8601 UTC
T026,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,COMPLIANCE,NO_PRODUCT_DEFINITION,ANNA-DSB UPI taxonomy coverage,GLOBAL,WARNING,asset_class,REGULATORY_AMBIGUOUS,"No ANNA-DSB OTC product definition exists for EventContract; this is a taxonomy gap, not a parser crash."
T026,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,SCOPE,CFTC_EVENT_CONDITIONAL,CFTC event-contract treatment,CFTC,WARNING,asset_class,CONDITIONAL,T026 is a Kalshi-style event contract on a CFTC DCM. Treat as CONDITIONAL rather than a conventional OTC swap.
T026,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,SCOPE,EMIR_EVENT_SCOPE,EMIR event-contract scope,EMIR,INFO,asset_class,NOT_APPLICABLE,Case-file facts mark this EventContract as outside the selected EMIR OTC reporting path.
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,COMPLIANCE,NO_PRODUCT_DEFINITION,ANNA-DSB UPI taxonomy coverage,GLOBAL,WARNING,asset_class,REGULATORY_AMBIGUOUS,"No ANNA-DSB OTC product definition exists for EventContract; this is a taxonomy gap, not a parser crash."
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,COMPLIANCE,INVALID_CURRENCY,ISO 4217 currency validation,GLOBAL,WARNING,notional_currency,,USDC is not an ISO 4217 currency code in the DSB codeset
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,COMPLIANCE,LEI_MISSING,LEI presence,GLOBAL,NONCOMPLIANT,reporting_counterparty_lei,,reporting counterparty lei is missing or uses a placeholder.
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,COMPLIANCE,LEI_MISSING,LEI presence,GLOBAL,NONCOMPLIANT,other_counterparty_lei,,other counterparty lei is missing or uses a placeholder.
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,COMPLIANCE,UTI_MISSING,UTI presence,GLOBAL,NONCOMPLIANT,uti,,UTI is missing.
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,SCOPE,CFTC_EVENT_NOT_APPLICABLE,CFTC event-contract treatment,CFTC,INFO,asset_class,NOT_APPLICABLE,T027 is not reportable through the CFTC OTC swap reporting path based on the provided platform facts.
T027,EventContract,NOT_REPORTABLE,NONCOMPLIANT,OUT_OF_SCOPE,NOT_REPORTABLE_EVENT_CONTRACT,SCOPE,EMIR_EVENT_SCOPE,EMIR event-contract scope,EMIR,INFO,asset_class,NOT_APPLICABLE,Case-file facts mark this EventContract as outside the selected EMIR OTC reporting path.
T028,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,COMPLIANCE,NO_PRODUCT_DEFINITION,ANNA-DSB UPI taxonomy coverage,GLOBAL,WARNING,asset_class,REGULATORY_AMBIGUOUS,"No ANNA-DSB OTC product definition exists for EventContract; this is a taxonomy gap, not a parser crash."
T028,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,SCOPE,CFTC_EVENT_CONDITIONAL,CFTC event-contract treatment,CFTC,WARNING,asset_class,CONDITIONAL,T028 is a Kalshi-style event contract on a CFTC DCM. Treat as CONDITIONAL rather than a conventional OTC swap.
T028,EventContract,REGULATORY_AMBIGUOUS,WARNING,CONDITIONAL,CONDITIONAL_EVENT_CONTRACT,SCOPE,EMIR_EVENT_SCOPE,EMIR event-contract scope,EMIR,INFO,asset_class,NOT_APPLICABLE,Case-file facts mark this EventContract as outside the selected EMIR OTC reporting path.
